iter	Passed	Remaining
0	122	122799
1	124	62352
2	127	42209
3	128	32118
4	130	25911
5	131	21764
6	132	18807
7	133	16592
8	135	14871
9	136	13486
10	137	12397
11	139	11512
12	141	10738
13	142	10056
14	144	9456
15	145	8920
16	146	8449
17	147	8026
18	147	7640
19	148	7291
20	149	6977
21	150	6697
22	151	6434
23	152	6211
24	153	6000
25	155	5818
26	156	5635
27	157	5461
28	158	5295
29	158	5139
30	159	4992
31	160	4855
32	161	4727
33	162	4607
34	162	4494
35	163	4388
36	164	4286
37	165	4188
38	166	4094
39	167	4018
40	168	3947
41	170	3881
42	171	3813
43	172	3744
44	173	3677
45	174	3611
46	175	3548
47	175	3489
48	176	3431
49	177	3375
50	178	3324
51	179	3274
52	180	3222
53	181	3178
54	182	3144
55	184	3111
56	185	3074
57	186	3036
58	188	3002
59	189	2962
60	189	2924
61	190	2884
62	191	2847
63	192	2811
64	193	2777
65	193	2744
66	194	2709
67	195	2676
68	196	2653
69	198	2631
70	199	2615
71	200	2589
72	202	2566
73	203	2540
74	203	2515
75	204	2489
76	205	2465
77	206	2441
78	207	2420
79	208	2398
80	209	2375
81	210	2352
82	210	2328
83	212	2313
84	213	2302
85	215	2291
86	216	2271
87	217	2250
88	217	2230
89	218	2211
90	219	2191
91	220	2172
92	220	2154
93	221	2137
94	222	2119
95	223	2102
96	223	2084
97	224	2070
98	226	2058
99	227	2047
100	229	2045
101	230	2030
102	231	2015
103	232	1999
104	232	1984
105	233	1969
106	234	1954
107	234	1940
108	236	1929
109	236	1915
110	237	1901
111	238	1887
112	238	1873
113	239	1863
114	241	1862
115	244	1863
116	245	1851
117	246	1840
118	247	1829
119	247	1817
120	248	1806
121	249	1794
122	250	1787
123	251	1778
124	252	1768
125	253	1759
126	256	1762
127	257	1755
128	258	1747
129	259	1737
130	260	1726
131	261	1716
132	261	1706
133	262	1696
134	263	1686
135	263	1676
136	264	1667
137	265	1657
138	266	1648
139	266	1639
140	267	1630
141	268	1620
142	269	1613
143	271	1611
144	273	1613
145	275	1609
146	276	1602
147	276	1594
148	277	1586
149	278	1578
150	279	1572
151	280	1564
152	281	1556
153	282	1549
154	282	1541
155	283	1536
156	285	1532
157	287	1531
158	288	1527
159	290	1524
160	291	1517
161	292	1511
162	293	1507
163	294	1500
164	295	1494
165	296	1487
166	296	1481
167	297	1475
168	299	1471
169	301	1472
170	302	1467
171	303	1462
172	304	1456
173	305	1449
174	306	1443
175	306	1436
176	307	1429
177	308	1424
178	309	1418
179	310	1412
180	310	1406
181	311	1400
182	312	1393
183	313	1392
184	315	1388
185	316	1384
186	317	1379
187	318	1373
188	319	1369
189	319	1363
190	320	1358
191	321	1353
192	322	1347
193	323	1342
194	323	1336
195	324	1331
196	325	1326
197	326	1320
198	326	1315
199	328	1312
200	329	1311
201	331	1308
202	332	1303
203	332	1299
204	333	1295
205	334	1290
206	335	1286
207	336	1282
208	337	1278
209	338	1273
210	339	1268
211	339	1263
212	340	1258
213	341	1254
214	342	1251
215	344	1248
216	345	1247
217	346	1243
218	347	1239
219	348	1235
220	349	1231
221	349	1226
222	350	1221
223	351	1217
224	352	1212
225	352	1208
226	353	1203
227	354	1200
228	355	1196
229	356	1191
230	357	1189
231	358	1187
232	360	1187
233	362	1185
234	363	1182
235	364	1180
236	365	1176
237	366	1173
238	367	1169
239	367	1165
240	368	1160
241	369	1156
242	369	1152
243	370	1148
244	372	1147
245	373	1146
246	375	1144
247	376	1142
248	377	1139
249	378	1136
250	379	1132
251	380	1130
252	381	1126
253	382	1122
254	382	1118
255	383	1114
256	384	1110
257	384	1106
258	385	1102
259	387	1101
260	389	1103
261	390	1100
262	391	1096
263	392	1093
264	393	1090
265	394	1087
266	394	1084
267	395	1080
268	396	1077
269	397	1073
270	397	1070
271	398	1066
272	399	1063
273	399	1059
274	400	1056
275	402	1055
276	403	1053
277	404	1051
278	405	1048
279	406	1045
280	407	1042
281	408	1038
282	408	1035
283	409	1032
284	410	1029
285	411	1026
286	411	1022
287	412	1019
288	413	1016
289	413	1013
290	414	1009
291	416	1009
292	418	1009
293	420	1010
294	421	1008
295	422	1005
296	423	1002
297	424	999
298	425	998
299	426	995
300	427	992
301	428	989
302	428	986
303	429	983
304	430	981
305	432	979
306	433	979
307	434	977
308	435	974
309	436	971
310	437	968
311	438	965
312	438	963
313	439	960
314	440	957
315	441	954
316	441	952
317	442	949
318	443	946
319	444	943
320	444	941
321	446	939
322	447	938
323	448	936
324	449	934
325	450	932
326	451	929
327	452	927
328	453	924
329	454	922
330	455	920
331	456	917
332	456	914
333	457	912
334	458	909
335	460	909
336	462	909
337	463	907
338	464	906
339	465	903
340	466	901
341	467	898
342	468	896
343	468	894
344	469	891
345	470	889
346	471	886
347	471	884
348	472	881
349	473	878
350	474	877
351	476	876
352	478	876
353	479	874
354	479	871
355	480	869
356	481	867
357	482	864
358	483	863
359	484	860
360	484	858
361	485	855
362	486	854
363	487	852
364	489	851
365	490	849
366	492	849
367	493	847
368	494	845
369	495	843
370	496	841
371	496	838
372	497	836
373	499	835
374	500	834
375	501	832
376	502	830
377	507	834
378	508	833
379	509	831
380	510	830
381	511	828
382	528	851
383	533	855
384	536	856
385	538	857
386	540	856
387	542	855
388	557	876
389	559	874
390	561	874
391	562	872
392	563	870
393	565	869
394	567	869
395	569	868
396	571	867
397	572	865
398	573	864
399	581	871
400	582	870
401	584	869
402	586	868
403	588	867
404	589	865
405	590	864
406	594	866
407	597	867
408	600	867
409	601	866
410	607	869
411	608	869
412	610	867
413	615	871
414	617	870
415	619	869
416	620	867
417	622	866
418	624	865
419	628	867
420	630	867
421	632	866
422	634	865
423	636	864
424	638	863
425	639	861
426	645	866
427	646	864
428	648	863
429	651	863
430	653	862
431	654	860
432	658	862
433	661	862
434	666	865
435	667	863
436	668	860
437	669	858
438	671	857
439	673	856
440	674	854
441	675	852
442	675	849
